claim_id,claim_text,evidential_status,source_id,locator,quantity_type,value,units,construct,system,transferable,notes
C021,"Hu 2025 lists Glu-apt Kd = 12 µM citing Wu 2022; that value is a citation, not a Hu remeasurement of the Fc-thiol truncated surface construct.",primary-source-supported,S002,Experimental section sequences,Kd_molecular,12,µM,"Glu-apt sequence as used by Hu, Kd label from Wu citation",AuED-MEA methods,no,Do not collapse this 12 µM with Hu electrochemical apparent Kd 1.8 nM.
C022,Rutherford 2007 cites GlutOx MEA coating response time 500-800 ms (Burmeister 2000/2002) and states freely moving data were recorded at 1 s intervals.,primary-source-supported,S054,PMC3482110 HTML,measurement_time,1,s,not aptamer; glutamate oxidase,freely moving rat CNS,no,Enzyme comparator. Cited coating response_time is 500-800 ms (Burmeister VoR not re-opened in the enzyme audit). Do not treat 500-800 ms as this paper's wet t90 versus 1.2 ms. Still not synaptic milliseconds.
C023,Clay 2018 reports a simulated GlutOx response time of 0.73 s matching experimental 0.8 ± 0.2 s.,primary-source-supported,S055,PMC5881573 HTML model paragraph,response_time,0.73,s,not aptamer,enzyme-electrode model,no,Simulation plus cited experiment. The experimental match 0.8 ± 0.2 s is Clay's citation (Wassum VoR unopened in the enzyme audit). Not synaptic milliseconds. Round-2 hunter had incorrectly said 0.73-0.8 s was absent.
C024,"Published iGluSnFR fluorescence time courses are often characterized as 10-100 times longer than the extracellular lifetime of synaptically released glutamate.",review-supported,S062,Europe PMC full text XML PMC7255799,response_time,10–100,fold,not aptamer; iGluSnFR,literature comparison inside a primary paper,no,Authors characterize previously published time courses against an uptake-derived estimate. Not a new wet measurement in this paper. Buffering mechanism is C035.
C035,"iGluSnFR buffering of glutamate diffusion and delayed uptake is established by Monte Carlo simulation (Figure 2C,D).",computational illustration,S062,"PMC7255799 Figure 2C,D",response_time,,,not aptamer; iGluSnFR,Monte Carlo simulation,no,Split from C024. Simulation labeled as simulation. Not an aptamer kinetic. E039 already flags simulations as in paper.
C025,Abrantes 2025 preprint abstract claims 1 aM glutamate LOD in aCSF on a graphene FET with computationally designed NG-Apt-Glu.,primary-source-supported,S010,bioRxiv abstract,sensor_LOD,1,aM,NG-Apt-Glu,graphene FET; aCSF,no,Preprint. In silico design. Do not enter unverified ELONA millimolar Kd. Not a substitute for kon/koff.
C026,Hu 2025 Glu-apt sequence is a truncated Fc- and thiol-modified oligo; authors themselves contrast electrochemical apparent Kd with cited solution-phase values because of 2D confinement.,primary-source-supported,S002,section 3.2,,,,surface Glu-apt vs cited solution Kd,PBS ACV,no,Supports construct/interface non-transfer. The confinement explanation is the authors' interpretation.
C027,"For 1:1 Langmuir occupancy, the concentration ratio between 10% and 90% occupancy is exactly 81, independent of Kd (c10=Kd/9, c90=9 Kd).",computational illustration,S030,algebra; Rousseau 2023 states the same identity,analytical_working_range,81,fold (10-90% occupancy),1:1 Langmuir site,derived occupancy identity,yes,Rousseau is not sole evidence. Implemented and tested in analysis/accepted/occupancy_kinetics.
C028,Hu 2025 RWTH thesis: 10 nM glutamate signal on the Glu-apt intraretinal probe plateaus at approximately 10 min.,primary-source-supported,S066,Fig. 6.6; section 6.2,measurement_time,10,min,Glu-apt on PaC intraretinal probe,probe calibration,no,Not a fitted koff. Distinct from the journal MEA 15 min Glu wait (C006).
C029,Hu 2025 thesis probe glutamate LOD is 0.3 pM on the 1 nM-1 mM PBS calibration.,primary-source-supported,S066,Fig. 6.7; section 6.2,sensor_LOD,0.3,pM,Glu-apt on PaC probe,PBS calibration,no,Not Ames. Not in vivo. Different format from journal MEA 32 pM (C004).
C030,Hu 2025 thesis Ames-medium glutamate calibration is linear from 10 nM to 10 µM and the authors report poor quantitative SNR versus PBS.,primary-source-supported,S066,Fig. 6.9A; section 6.2,analytical_working_range,10 nM–10 µM,span,Glu-apt on PaC probe,Ames medium,no,"Buffer composition changes performance. Mixed nM/µM span stored in value. E044: authors report 41.6% blank noise in Ames. Printed log-slopes are now E047 (PBS 11.86 %/decade, Fig. 6.7B) and E048 (Ames 57.11 %/decade, Fig. 6.9A). Those two buffer curves do not invert tissue ACV to concentration or occupancy."
C031,"Hu 2025 thesis records ACV in in vitro mouse retina at 14 s/scan then 1 min sampling; the authors interpret this as basal glutamate, not synaptic transients.",primary-source-supported,S066,section 6.3,measurement_time,1,min,Glu-apt on PaC probe in retina,in vitro mouse retina,no,"Strongest Glu-apt neural-tissue experiment in this ledger. Not in vivo. Does not fill C007. Author basal reading is interpretation, not a pharmacological identification. Probe 3 showed an early plateau but reported gold-nanostructure detachment confounds its interpretation; PaC occupancy is unmeasured. Probe 4 unstable. Value is the 1 min sampling interval; 14 s is the scan clock (E045)."
C032,"Hu 2025 thesis selectivity panel compares 100 nM glutamate with 10 µM serotonin, dopamine, tyrosine, and lactate; aspartate and glutamine are not in that panel.",primary-source-supported,S066,Fig. 6.8A,signal_gain,,,Glu-apt on PaC probe,probe calibration,no,Does not license amino-acid cleft selectivity. Empty value is intentional (no ratio reported).
C033,"Hu 2025 thesis records ACV (signal_gain) on a Glu-aptamer PaC probe in in vitro mouse retina in two legs: post-insertion baseline rise under initial light-on, and later light-on/off correlation (Probes 1-2 authors p < 0.05; Probes 3-4 ns). Authors interpret the current as basal glutamate, not synaptic transients.",primary-source-supported,S066,section 6.3; Fig. 6.13,signal_gain,,,Glu-apt on PaC probe,in vitro mouse retina,no,"E046. Two MEASURED ACV legs; analyte identity UNKNOWN on both. The section 6.3 successful-detection sentence is author interpretation, not a second assay. Probe 3 showed an early plateau but reported gold-nanostructure detachment confounds its interpretation; PaC occupancy is unmeasured. Probe 4 unstable. Not a pharmacological identification. Not in vivo. Empty value is intentional."
C034,Hu 2025 thesis places the glutamate ACV recording on the large bottom electrode at the GCL of in vitro mouse retina on the same probe as spike recordings.,primary-source-supported,S066,section 6.3,measurement_time,14,s,Glu-apt on PaC probe,in vitro mouse retina GCL,no,E045. Does not by itself resolve IPL-border versus photoreceptor-terminal narrative. Value is the 14 s scan clock already in E045.
